station_id,CallSign,longitude,latitude,time,AtmosphericPressure,WindDirection,WindSpeed,Gust,WaveHeight,WavePeriod,MeanWaveDirection,Hmax,AirTemperature,DewPoint,SeaTemperature,salinity,RelativeHumidity,SprTp,ThTp,Tp,QC_Flag
,,degrees_east,degrees_north,UTC,mb,degrees_true,kn,kn,m,s,degrees_true,m,degree_C,degree_C,degree_C,PSU,percent,degrees,degrees_true,s,
M2,62091,-5.4302,53.4836,2019-11-30T00:00:00Z,1019.482,140.0,11.385,15.654,0.586,3.164,149.0,0.703,8.75,NaN,12.441,NaN,64.844,32.344,156.094,2.813,0.0
M3,62092,-10.548261,51.215956,2019-11-30T00:00:00Z,1007.324,110.0,24.477,33.3,2.344,4.922,128.0,3.281,10.898,NaN,10.859,NaN,87.891,28.125,116.719,5.742,0.0
M4,62093,-9.999136,54.999967,2019-11-30T00:00:00Z,1017.48,117.0,18.073,22.343,1.758,4.922,68.0,2.109,7.871,NaN,10.781,NaN,NaN,61.875,357.188,9.609,0.0
M5,62094,-6.704336,51.690425,2019-11-30T00:00:00Z,1015.125,121.0,21.062,26.754,1.563,4.57,127.0,1.875,10.654,NaN,11.865,NaN,85.547,36.563,105.469,5.508,0.0
M6,62095,-15.88135,53.07482,2019-11-30T00:00:00Z,1006.978,112.0,19.809,29.145,3.359,6.094,NaN,4.531,10.752,NaN,11.758,NaN,91.113,67.148,143.438,6.797,0.0
M2,62091,-5.4302,53.4836,2019-11-30T01:00:00Z,1018.652,130.0,12.523,15.939,NaN,NaN,NaN,NaN,8.604,NaN,12.422,NaN,67.188,NaN,NaN,NaN,0.0
M3,62092,-10.548261,51.215956,2019-11-30T01:00:00Z,1006.738,109.0,24.193,30.739,NaN,NaN,NaN,NaN,10.947,NaN,10.859,NaN,89.063,NaN,NaN,NaN,0.0
M4,62093,-9.999136,54.999967,2019-11-30T01:00:00Z,1017.48,116.0,17.504,22.058,NaN,NaN,NaN,NaN,8.115,NaN,10.84,NaN,NaN,NaN,NaN,NaN,0.0
M5,62094,-6.704336,51.690425,2019-11-30T01:00:00Z,1014.514,122.0,21.062,26.754,1.563,4.453,127.0,2.109,10.459,NaN,11.865,NaN,84.375,22.5,109.688,5.039,0.0
M6,62095,-15.88135,53.07482,2019-11-30T01:00:00Z,1007.174,113.0,20.493,31.308,3.203,6.211,NaN,4.844,11.24,NaN,11.777,NaN,85.742,61.875,111.094,7.031,0.0
M3,62092,-10.548261,51.215956,2019-11-30T02:00:00Z,1006.299,108.0,24.05,31.308,NaN,NaN,NaN,NaN,11.045,NaN,10.859,NaN,89.063,NaN,NaN,NaN,0.0
M4,62093,-9.999136,54.999967,2019-11-30T02:00:00Z,1017.676,111.0,18.358,23.481,NaN,NaN,NaN,NaN,7.969,NaN,10.879,NaN,NaN,NaN,NaN,NaN,0.0
M5,62094,-6.704336,51.690425,2019-11-30T02:00:00Z,1014.722,131.0,20.872,27.893,1.875,4.688,121.0,2.813,10.703,NaN,11.836,NaN,83.984,23.906,102.656,5.391,0.0
M6,62095,-15.88135,53.07482,2019-11-30T02:00:00Z,1007.564,102.0,21.517,31.194,3.984,6.563,NaN,6.094,10.947,NaN,11.777,NaN,87.598,60.469,108.281,7.5,0.0
M2,62091,-5.4302,53.4836,2019-11-30T02:00:00Z,1018.506,120.0,13.946,17.646,NaN,NaN,NaN,NaN,8.799,NaN,12.422,NaN,69.531,NaN,NaN,NaN,0.0
M2,62091,-5.4302,53.4836,2019-11-30T03:00:00Z,1019.043,116.0,12.381,15.939,0.703,3.516,129.0,0.82,8.506,NaN,12.422,NaN,72.656,39.375,122.344,3.75,0.0
M3,62092,-10.548261,51.215956,2019-11-30T03:00:00Z,1005.029,100.0,25.473,34.866,3.047,5.625,120.0,4.805,10.85,NaN,10.879,NaN,91.797,30.938,118.125,6.68,0.0
M4,62093,-9.999136,54.999967,2019-11-30T03:00:00Z,1017.92,103.0,17.219,22.912,1.875,5.156,80.0,2.578,7.773,NaN,10.898,NaN,NaN,29.531,118.125,5.273,0.0
M5,62094,-6.704336,51.690425,2019-11-30T03:00:00Z,1014.294,125.0,22.58,28.652,1.875,4.688,111.0,2.578,10.801,NaN,11.807,NaN,84.375,26.719,111.094,5.391,0.0
M6,62095,-15.88135,53.07482,2019-11-30T03:00:00Z,1008.59,98.0,21.062,31.877,3.672,6.563,NaN,5.0,11.094,NaN,11.699,NaN,83.301,63.984,157.5,7.5,0.0
M5,62094,-6.704336,51.690425,2019-11-30T04:00:00Z,1013.44,120.0,22.2,29.6,2.188,4.922,114.0,3.047,10.801,NaN,11.777,NaN,85.156,22.5,108.281,6.094,0.0
M6,62095,-15.88135,53.07482,2019-11-30T04:00:00Z,1008.443,95.0,19.696,30.625,4.219,6.914,NaN,7.5,11.045,NaN,11.66,NaN,86.328,57.305,101.25,8.086,0.0
M2,62091,-5.4302,53.4836,2019-11-30T04:00:00Z,1018.945,118.0,12.239,16.65,NaN,NaN,NaN,NaN,8.555,NaN,12.363,NaN,66.016,NaN,NaN,NaN,0.0
M3,62092,-10.548261,51.215956,2019-11-30T04:00:00Z,1004.053,104.0,26.612,35.72,NaN,NaN,NaN,NaN,10.947,NaN,10.898,NaN,91.406,NaN,NaN,NaN,0.0
M4,62093,-9.999136,54.999967,2019-11-30T04:00:00Z,1018.066,104.0,17.789,23.623,NaN,NaN,NaN,NaN,7.627,NaN,10.898,NaN,NaN,NaN,NaN,NaN,0.0
M5,62094,-6.704336,51.690425,2019-11-30T05:00:00Z,1012.781,116.0,23.529,32.636,2.656,5.273,117.0,3.281,10.801,NaN,11.807,NaN,84.766,26.719,112.5,6.563,0.0
M6,62095,-15.88135,53.07482,2019-11-30T05:00:00Z,1008.931,90.0,20.265,30.511,3.672,6.68,NaN,5.781,10.996,NaN,11.641,NaN,84.375,58.008,150.469,7.617,0.0
M2,62091,-5.4302,53.4836,2019-11-30T05:00:00Z,1018.896,111.0,12.239,16.081,NaN,NaN,NaN,NaN,8.701,NaN,12.031,NaN,60.156,NaN,NaN,NaN,0.0
M3,62092,-10.548261,51.215956,2019-11-30T05:00:00Z,1003.662,98.0,26.185,34.012,NaN,NaN,NaN,NaN,10.85,NaN,10.898,NaN,92.188,NaN,NaN,NaN,0.0
M4,62093,-9.999136,54.999967,2019-11-30T05:00:00Z,1017.969,98.0,18.358,22.77,NaN,NaN,NaN,NaN,7.432,NaN,10.859,NaN,NaN,NaN,NaN,NaN,0.0
M2,62091,-5.4302,53.4836,2019-11-30T06:00:00Z,1018.506,105.0,12.523,16.508,0.938,3.984,91.0,1.523,8.896,NaN,12.129,NaN,64.844,28.125,80.156,4.57,0.0
M3,62092,-10.548261,51.215956,2019-11-30T06:00:00Z,1003.613,95.0,27.466,36.004,3.633,6.328,105.0,5.625,10.801,NaN,10.898,NaN,92.578,28.125,104.063,7.969,0.0
M4,62093,-9.999136,54.999967,2019-11-30T06:00:00Z,1017.871,99.0,18.216,23.196,1.875,5.273,77.0,2.93,7.822,NaN,10.859,NaN,NaN,25.313,98.438,5.391,0.0
